Element,Unit,Item,Year,Value
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2008,299241
Import Quantity,t,"Meat of chickens, fresh or chilled",2009,304254
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2009,1205215
Export Quantity,t,"Meat of chickens, fresh or chilled",2009,202140
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2009,268251
Import Quantity,t,"Meat of chickens, fresh or chilled",2010,342373
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2010,1324905
Export Quantity,t,"Meat of chickens, fresh or chilled",2010,215292
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2010,306723
Import Quantity,t,"Meat of chickens, fresh or chilled",2011,371557
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2011,1546223
Export Quantity,t,"Meat of chickens, fresh or chilled",2011,225420
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2011,358878
Import Quantity,t,"Meat of chickens, fresh or chilled",2012,355693
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2012,1387742
Export Quantity,t,"Meat of chickens, fresh or chilled",2012,223138
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2012,330046
Import Quantity,t,"Meat of chickens, fresh or chilled",2013,350658
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2013,1359668
Export Quantity,t,"Meat of chickens, fresh or chilled",2013,262887
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2013,379542
Import Quantity,t,"Meat of chickens, fresh or chilled",2014,339981.52
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2014,1397765
Export Quantity,t,"Meat of chickens, fresh or chilled",2014,272761.88
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2014,376387
Import Quantity,t,"Meat of chickens, fresh or chilled",2015,360050.63
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2015,1275306
Export Quantity,t,"Meat of chickens, fresh or chilled",2015,240618.77
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2015,276508
Import Quantity,t,"Meat of chickens, fresh or chilled",2016,378285.1
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2016,1203494
Export Quantity,t,"Meat of chickens, fresh or chilled",2016,242608.34
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2016,256263
Import Quantity,t,"Meat of chickens, fresh or chilled",2017,366959.6
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2017,1178523
Export Quantity,t,"Meat of chickens, fresh or chilled",2017,279152.9
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2017,270019
Import Quantity,t,"Meat of chickens, fresh or chilled",2018,382643.46
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2018,1374831
Export Quantity,t,"Meat of chickens, fresh or chilled",2018,299100.13
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2018,304734
Import Quantity,t,"Meat of chickens, fresh or chilled",2019,378688.15
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2019,1235959
Export Quantity,t,"Meat of chickens, fresh or chilled",2019,318307.83
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2019,298512
Import Quantity,t,"Meat of chickens, fresh or chilled",2020,368593.39
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2020,1153228
Export Quantity,t,"Meat of chickens, fresh or chilled",2020,377905.64
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2020,322382
Import Quantity,t,"Meat of chickens, fresh or chilled",2021,355374.17
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2021,1179164
Export Quantity,t,"Meat of chickens, fresh or chilled",2021,310196.19
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2021,279128
Import Quantity,t,"Meat of chickens, fresh or chilled",2022,444974.18
Import Value,1000 USD,"Meat of chickens, fresh or chilled",2022,1761965
Export Quantity,t,"Meat of chickens, fresh or chilled",2022,229516.31
Export Value,1000 USD,"Meat of chickens, fresh or chilled",2022,247902
Import Quantity,t,"Meat of ducks, fresh or chilled",1961,617
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1961,535
Export Quantity,t,"Meat of ducks, fresh or chilled",1961,0
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1961,0
Import Quantity,t,"Meat of ducks, fresh or chilled",1962,537
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1962,532
Export Quantity,t,"Meat of ducks, fresh or chilled",1962,0
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1962,0
Import Quantity,t,"Meat of ducks, fresh or chilled",1963,368
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1963,373
Export Quantity,t,"Meat of ducks, fresh or chilled",1963,0
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1963,0
Import Quantity,t,"Meat of ducks, fresh or chilled",1964,621
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1964,633
Export Quantity,t,"Meat of ducks, fresh or chilled",1964,0
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1964,0
Import Quantity,t,"Meat of ducks, fresh or chilled",1965,808
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1965,697
Export Quantity,t,"Meat of ducks, fresh or chilled",1965,0
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1965,0
Import Quantity,t,"Meat of ducks, fresh or chilled",1966,478
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1966,426
Export Quantity,t,"Meat of ducks, fresh or chilled",1966,0
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1966,0
Import Quantity,t,"Meat of ducks, fresh or chilled",1967,485
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1967,455
Export Quantity,t,"Meat of ducks, fresh or chilled",1967,0
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1967,0
Import Quantity,t,"Meat of ducks, fresh or chilled",1968,341
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1968,322
Export Quantity,t,"Meat of ducks, fresh or chilled",1968,0
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1968,0
Import Quantity,t,"Meat of ducks, fresh or chilled",1969,607
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1969,533
